ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,15,mtr,learning_rate:0.3,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:1.0,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:1.0,bag:4:greedify:ips,209.875,,,209.875
loan1,15,mtr,learning_rate:1.0,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:3.0,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:3.0,bag:4:greedify:ips,150.55,,,150.55
loan1,15,mtr,learning_rate:3.0,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:10.0,bag:4:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:10.0,bag:4:greedify:ips,134.65,,,134.65
loan1,15,mtr,learning_rate:10.0,bag:4:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.001,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.001,bag:8:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.001,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.003,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.003,bag:8:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.003,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.01,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.01,bag:8:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.01,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.03,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.03,bag:8:greedify:ips,380.35,,,380.35
loan1,15,mtr,learning_rate:0.03,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.1,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.1,bag:8:greedify:ips,374.0,,,374.0
loan1,15,mtr,learning_rate:0.1,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.3,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.3,bag:8:greedify:ips,370.125,,,370.125
loan1,15,mtr,learning_rate:0.3,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:1.0,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:1.0,bag:8:greedify:ips,313.95,,,313.95
loan1,15,mtr,learning_rate:1.0,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:3.0,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:3.0,bag:8:greedify:ips,213.325,,,213.325
loan1,15,mtr,learning_rate:3.0,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:10.0,bag:8:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:10.0,bag:8:greedify:ips,182.275,,,182.275
loan1,15,mtr,learning_rate:10.0,bag:8:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.001,bag:16:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.001,bag:16:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.001,bag:16:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.003,bag:16:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.003,bag:16:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.003,bag:16:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.01,bag:16:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.01,bag:16:greedify:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.01,bag:16:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.03,bag:16:greedify:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.03,bag:16:greedify:ips,393.425,,,393.425
loan1,15,mtr,learning_rate:0.03,bag:16:greedify:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.1,bag:16:greedify:dr,405.75,,,405.75
